TransactionNativeID,Traveler Name,Department,Itinerary number,Transaction date,Booking Date,Transaction type,Domestic / International,Travel start date,Travel end date,Transaction amount,Booking Reference/PNR,Ticket number,Reason code,Booking method,Airline/Vendor,Traveler Group,Card Number,Flight,Origin city,Destination city,Class of service,Cabin type,Reason for travel,UserDefinedColumn1,UserDefinedColumn2,UserDefinedColumn3,UserDefinedColumn4,UserDefinedColumn5
390,Employee Name112,,2083362095,6/4/2018,5/7/2018,Original,Intercontinental,6/4/2018,6/9/2018,5512.628367,KZ915Y,2083362095,,,UNITED AIRLINES,,,,SHANGHAI,LOS ANGELES,P,,,,,,,
391,Employee Name142,,5365587411,4/22/2018,4/3/2018,Original,Continental,4/22/2018,4/24/2018,647.9986611,RS2EAF,5365587411,,,KOREAN AIR,,,,SEOUL,TAIPEI,Y,,,,,,,
392,Employee Name142,,5367369437,6/19/2018,5/30/2018,Original,Continental,6/19/2018,6/22/2018,429.4171495,SVTHFS,5367369437,,,KOREAN AIR,,,,SEOUL,TAIPEI,E,,,,,,,
393,Employee Name112,,5388181416,4/27/2018,4/10/2018,Original,Domestic,4/27/2018,4/27/2018,187.340155,KSLBR3,5388181416,,,CHINA EASTERN AIRLINES,,,,DALIAN,SHANGHAI,Y,,,,,,,
394,Employee Name150,,1337692533,8/29/2018,8/28/2018,Original,Domestic,8/29/2018,8/29/2018,248.0867659,,1337692533,,,TAP AIR PORTUGAL,,,,LISBON,PORTO,L,,,,,,,
395,Employee Name35,,7040659949,2/14/2018,1/23/2018,Original,Continental,2/14/2018,2/14/2018,379,PXYQUR,7040659949,,,DELTA AIR LINES,,,,MEXICO CITY,LOS ANGELES,X,,,,,,,
396,Employee Name142,,2834792645,1/13/2019,11/21/2018,Original,Intercontinental,1/13/2019,1/19/2019,3220.376818,THGIDX,2834792645,,,KOREAN AIR,,,,SEOUL,LOS ANGELES,I,,,,,,,
397,Employee Name106,,3421762021,1/10/2019,1/15/2019,Refund,Continental,1/10/2019,1/10/2019,-154.3063038,JSE2DF,3421762021,,,CHINA EASTERN AIRLINES,,,,HONG KONG,SHANGHAI,N,,,,,,,
398,Employee Name106,,2739990379,8/14/2018,8/8/2018,Original,Domestic,8/14/2018,8/14/2018,197.1886285,KDEG5J,2739990379,,,CHINA EASTERN AIRLINES,,,,BEIJING,SHANGHAI,Y,,,,,,,
399,Employee Name106,,5179721244,1/23/2018,1/18/2018,Original,Domestic,1/23/2018,1/23/2018,936.4727587,KNLJ52,5179721244,,,CHINA EASTERN AIRLINES,,,,SANYA,SHANGHAI,J,,,,,,,
400,Employee Name68,,7215159107,11/11/2018,10/12/2018,Original,Domestic,11/11/2018,11/13/2018,236.4,EETMMV,7215159107,,,ALASKA AIRLINES,,,,SEATTLE,BOZEMAN,K,,,,,,,
401,Employee Name75,,4932309842,11/26/2018,10/25/2018,Original,Continental,11/26/2018,11/28/2018,449.6519713,KJQPOG,4932309842,,,SAS SCANDINAVIAN AIRLINES,,,,OSLO,ZURICH,K,,,,,,,
402,Employee Name68,,7235409171,1/22/2019,1/2/2019,Original,Domestic,1/22/2019,1/24/2019,256.6,EBAQKT,7235409171,,,ALASKA AIRLINES,,,,SEATTLE,SAN FRANCISCO,R,,,,,,,
403,Employee Name9,,5323880894,4/9/2018,3/12/2018,Original,Continental,4/9/2018,4/10/2018,370.4267666,OPPI3L,5323880894,,,SAS SCANDINAVIAN AIRLINES,,,,VILNIUS,STOCKHOLM,H,,,,,,,
404,Employee Name11,,7055778328,4/16/2018,3/9/2018,Original,Domestic,4/16/2018,4/16/2018,1197.62,AAQVDS,7055778328,,,DELTA AIR LINES,,,,LOS ANGELES,NEW YORK,M,,,,,,,
405,Employee Name151,,9785226606,6/19/2018,3/7/2018,Original,Continental,6/19/2018,6/21/2018,148.9007033,HSRECX,9785226606,,,CZECH AIRLINES,,,,PRAGUE,WARSAW,W,,,,,,,
406,Employee Name112,,2090465358,5/9/2018,5/2/2018,Original,Domestic,5/9/2018,5/9/2018,191.5197234,HQ550M,2090465358,,,AIR CHINA,,,,SHANGHAI,BEIJING,Y,,,,,,,
407,Employee Name82,,LMDBYF,11/15/2018,11/26/2018,Original,Domestic,11/15/2018,11/15/2018,112.9013429,LMDBYF,LMDBYF,,,BLUE AIR,,,,BUCHAREST,CLUJ,Y,,,,,,,
408,Employee Name128,,2648906498,6/18/2018,6/13/2018,Original,Continental,6/18/2018,6/21/2018,815.7765573,TBJLAH,2648906498,,,SINGAPORE AIRLINES,,,,SINGAPORE,HONG KONG,Y,,,,,,,
409,Employee Name112,,2090465359,5/11/2018,5/7/2018,Refund,Domestic,5/11/2018,5/11/2018,-173.152668,HQ550M,2090465359,,,AIR CHINA,,,,BEIJING,SHANGHAI,Y,,,,,,,
410,Employee Name128,,5746704409,4/11/2018,3/28/2018,Original,Continental,4/11/2018,4/14/2018,141.7722519,XTLYLD,5746704409,,,SINGAPORE AIRLINES,,,,SINGAPORE,KUALA LUMPUR,V,,,,,,,
411,Employee Name150,,1337692508,6/13/2018,5/30/2018,Original,Continental,6/13/2018,6/14/2018,207.412824,,1337692508,,,TAP AIR PORTUGAL,,,,LISBON,BARCELONA,A,,,,,,,
412,Employee Name104,,2782990032,9/16/2018,8/9/2018,Original,Intercontinental,9/16/2018,9/21/2018,1830.421456,LYRMJV,2782990032,,,TURKISH AIRLINES,,,,RIYADH,ISTANBUL,J,,,,,,,
413,Employee Name86,,5637564198,8/19/2018,5/24/2018,Original,Domestic,8/19/2018,8/22/2018,209.577049,MITYJP,5637564198,,,SAS SCANDINAVIAN AIRLINES,,,,STOCKHOLM,GOTHENBURG,K,,,,,,,
414,Employee Name86,,5637564197,6/11/2018,5/23/2018,Original,Continental,6/11/2018,6/13/2018,333.1063782,JUCTGK,5637564197,,,SAS SCANDINAVIAN AIRLINES,,,,STOCKHOLM,LONDON,U,,,,,,,
415,Employee Name68,,7173008020,8/29/2018,8/15/2018,Original,Domestic,8/29/2018,8/29/2018,127.95,KCERTF,7173008020,,,UNITED AIRLINES,,,,SAN FRANCISCO,BURBANK,W,,,,,,,
416,Employee Name5,,5621719864,1/30/2018,1/9/2018,Original,Continental,1/30/2018,2/2/2018,331.0906343,ZSXEQW,5621719864,,,AEGEAN AIRLINES,,,,ATHENS,ZURICH,T,,,,,,,
417,Employee Name143,,2628446977,8/7/2018,6/8/2018,Original,Intercontinental,8/7/2018,8/9/2018,594.5613684,YERPVD,2628446977,,,EL AL ISRAEL AIRLINES,,,,VIENNA,TEL AVIV,H,,,,,,,
418,Employee Name132,,5107086124,5/31/2018,4/10/2018,Original,Intercontinental,5/31/2018,6/11/2018,4024.42252,SNBDPK,5107086124,,,AER LINGUS,,,,DUBLIN,LOS ANGELES,I,,,,,,,
419,Employee Name73,,1337692498,5/13/2018,5/9/2018,Original,Continental,5/13/2018,5/15/2018,550.517718,,1337692498,,,VUELING AIRLINES SA,,,,LISBON,BARCELONA,B,,,,,,,
420,Employee Name68,,7135167970,5/6/2018,4/12/2018,Exchange,Continental,5/6/2018,5/10/2018,283.8,OAGWBV,7135167970,,,ALASKA AIRLINES,,,,SEATTLE,SAN FRANCISCO,L,,,,,,,
421,Employee Name148,,1.31596E+12,5/7/2018,4/16/2018,Original,Continental,5/7/2018,5/10/2018,1226.863875,QWN98A,1.31596E+12,,,JAPAN AIRLINES,,,,TOKYO,TAIPEI,D,,,,,,,
422,Employee Name120,,3140563447,1/28/2019,1/24/2019,Original,Continental,1/28/2019,1/30/2019,1837.345579,GFMPLF,3140563447,,,CATHAY PACIFIC AIRWAYS,,,,HONG KONG,BEIJING,J,,,,,,,
423,Employee Name143,,5697403928,6/19/2018,5/3/2018,Original,Continental,6/19/2018,6/21/2018,631.7744219,JAYWPZ,5697403928,,,AUSTRIAN AIRLINES,,,,VIENNA,WARSAW,V,,,,,,,
424,Employee Name95,,2870526973,9/25/2018,9/7/2018,Exchange,Domestic,9/25/2018,10/1/2018,43.36452868,NOBPMB,2870526973,,,AIR CANADA,,,,TORONTO,MONTREAL,G,,,,,,,
425,Employee Name95,,2870278535,9/6/2018,8/29/2018,Original,Domestic,9/6/2018,9/6/2018,425.6018462,ERBVAG,2870278535,,,AIR CANADA,,,,TORONTO,QUEBEC,V,,,,,,,
426,Employee Name120,,2837770145,12/9/2018,12/7/2018,Original,Continental,12/9/2018,12/10/2018,1269.574838,TQPAMR,2837770145,,,CATHAY PACIFIC AIRWAYS,,,,HONG KONG,SHANGHAI,J,,,,,,,
427,Employee Name12,,5952010659,5/15/2018,3/29/2018,Original,Continental,5/15/2018,5/17/2018,242.716006,WDSWWV,5952010659,,,SWISS,,,,ZURICH,LONDON,T,,,,,,,
428,Employee Name8,,2671411864,2/1/2019,12/17/2018,Original,Continental,2/1/2019,2/3/2019,240.9928564,GWOKJO,2671411864,,,SWISS,,,,ZURICH,PARIS,T,,,,,,,
429,Employee Name104,,2783630883,9/10/2018,9/3/2018,Original,Domestic,9/10/2018,9/10/2018,718.5509146,SMRH8I,2783630883,,,SAUDI ARABIAN AIRLINES,,,,RIYADH,JEDDAH,I,,,,,,,
430,Employee Name130,,5191029371,9/5/2018,8/22/2018,Original,Continental,9/5/2018,9/5/2018,155.9152004,MOJTDU,5191029371,,,SWISS,,,,ZURICH,BERLIN,K,,,,,,,
431,Employee Name130,,HILHQR,6/5/2018,5/25/2018,Original,Domestic,6/5/2018,6/5/2018,354.924266,PPHITD,HILHQR,,,EUROWINGS,,,,DUSSELDORF,BERLIN,*,,,,,,,
432,Employee Name132,,2PJ6U2,3/28/2018,2/7/2018,Original,Continental,3/28/2018,4/2/2018,582.9856894,HMISVQ,2PJ6U2,,,AER LINGUS,,,,DUBLIN,VENICE,*,,,,,,,
433,Employee Name143,,5697403779,1/29/2018,1/12/2018,Original,Continental,1/29/2018,2/2/2018,258.3643258,BZMSSE,5697403779,,,TAROM ROMANIAN,,,,VIENNA,BUCHAREST,V,,,,,,,
434,Employee Name130,,5191029474,9/6/2018,9/6/2018,Exchange,Domestic,9/6/2018,9/6/2018,0,UHSVJU,5191029474,,,LUFTHANSA GERMAN AIRLINES,,,,BERLIN,MUNICH,U,,,,,,,
435,Employee Name8,,2671411142,10/12/2018,10/4/2018,Original,Continental,10/12/2018,10/14/2018,578.3554511,NNOLHY,2671411142,,,AIR FRANCE,,,,ZURICH,PARIS,U,,,,,,,
436,Employee Name130,,5191029551,10/23/2018,9/18/2018,Original,Intercontinental,10/23/2018,10/27/2018,6476.810906,GDPIRY,5191029551,,,LUFTHANSA GERMAN AIRLINES,,,,MUNICH,LOS ANGELES,C,,,,,,,
437,Employee Name120,,3140563424,1/22/2019,1/18/2019,Original,Continental,1/22/2019,1/24/2019,4134.569561,PRNSBH,3140563424,,,CATHAY PACIFIC AIRWAYS,,,,HONG KONG,TOKYO,J,,,,,,,
438,Employee Name132,,2EJG6W,12/2/2018,8/22/2018,Original,Continental,12/2/2018,12/6/2018,138.4246392,UVOAAM,2EJG6W,,,AER LINGUS,,,,DUBLIN,DUSSELDORF,*,,,,,,,
439,Employee Name132,,2628940893,1/14/2019,10/23/2018,Original,Intercontinental,1/14/2019,1/14/2019,79.66159632,AVZSTO,2628940893,,,DELTA AIR LINES,,,,SEATTLE,LOS ANGELES,V,,,,,,,
440,Employee Name58,,2758903032,1/14/2019,11/21/2018,Original,Intercontinental,1/14/2019,1/19/2019,5358.716867,TPJOUI,2758903032,,,AIR FRANCE,,,,PARIS,LOS ANGELES,I,,,,,,,
441,Employee Name153,,2671411831,1/30/2019,12/12/2018,Original,Continental,1/30/2019,1/31/2019,427.7711376,LJMKZD,2671411831,,,AUSTRIAN AIRLINES,,,,ZURICH,SOFIA,V,,,,,,,
442,Employee Name150,,1337692585,11/14/2018,11/14/2018,Original,Continental,11/14/2018,11/14/2018,215.9585892,,1337692585,,,TAP AIR PORTUGAL,,,,BARCELONA,LISBON,Y,,,,,,,
443,Employee Name153,,2527238539,8/21/2018,7/30/2018,Original,Continental,8/21/2018,8/21/2018,411.5850261,IDEGXS,2527238539,,,SWISS,,,,ZURICH,VIENNA,Q,,,,,,,
444,Employee Name148,,1.06022E+14,9/26/2018,9/7/2018,Original,Domestic,9/26/2018,9/26/2018,167.7499914,1QMF3,1.06022E+14,,,ALL NIPPON AIRWAYS,,,,TOKYO,OKAYAMA,Y,,,,,,,
445,Employee Name106,,5320859728,3/9/2018,3/8/2018,Exchange,Continental,3/9/2018,3/9/2018,86.99659376,JETK91,5320859728,,,CHINA EASTERN AIRLINES,,,,HONG KONG,SHANGHAI,Y,,,,,,,
446,Employee Name73,,C8FHHS,5/13/2018,5/10/2018,Refund,Continental,5/13/2018,5/15/2018,-550.517718,,C8FHHS,,,VUELING AIRLINES SA,,,,LISBON,BARCELONA,Y,,,,,,,
447,Employee Name24,,1483790389,10/4/2018,8/31/2018,Original,Domestic,10/4/2018,10/5/2018,184.78,DPROVT,1483790389,,,SOUTHWEST AIRLINES,,,,BURBANK,SAN JOSE,J,,,,,,,
448,Employee Name120,,5103145011,2/25/2018,2/23/2018,Original,Continental,2/25/2018,2/27/2018,1197.314974,KOULJV,5103145011,,,DRAGONAIR,,,,HONG KONG,SHANGHAI,J,,,,,,,
449,Employee Name120,,5734181629,1/31/2018,1/29/2018,Original,Continental,1/31/2018,2/2/2018,1207.894938,VYYGSR,5734181629,,,DRAGONAIR,,,,HONG KONG,SHANGHAI,J,,,,,,,
450,Employee Name8,,2671411571,12/5/2018,11/9/2018,Original,Continental,12/5/2018,12/5/2018,138.7954865,RINURD,2671411571,,,SWISS,,,,PRAGUE,ZURICH,L,,,,,,,
451,Employee Name153,,2671411543,12/5/2018,11/8/2018,Original,Continental,12/5/2018,12/5/2018,152.5801408,LDIGBE,2671411543,,,SWISS,,,,PRAGUE,ZURICH,T,,,,,,,
452,Employee Name8,,2527238439,11/5/2018,7/9/2018,Original,Intercontinental,11/5/2018,11/10/2018,7310.687267,VBQIEK,2527238439,,,SWISS,,,,ZURICH,LOS ANGELES,Z,,,,,,,
453,Employee Name9,,1823357533,3/23/2018,3/20/2018,Original,Continental,3/23/2018,3/23/2018,80.14159175,QF47ZT,1823357533,,,SAS SCANDINAVIAN AIRLINES,,,,GOTHENBURG,VILNIUS,S,,,,,,,
454,Employee Name68,,7148565922,6/6/2018,5/24/2018,Original,Continental,6/6/2018,6/6/2018,206.07,ZRDFHJ,7148565922,,,DELTA AIR LINES,,,,SEATTLE,VANCOUVER,L,,,,,,,
455,Employee Name12,,2671411057,10/30/2018,9/25/2018,Original,Continental,10/30/2018,10/31/2018,442.3772253,UYIYWI,2671411057,,,AEGEAN AIRLINES,,,,ZURICH,ATHENS,U,,,,,,,
456,Employee Name12,,2671411848,1/9/2019,12/13/2018,Exchange,Continental,1/9/2019,1/10/2019,80.6164688,ZRGXBX,2671411848,,,SWISS,,,,ZURICH,COPENHAGEN,S,,,,,,,
457,Employee Name8,,2671411961,2/3/2019,1/10/2019,Original,Continental,2/3/2019,2/3/2019,205.0352247,VCUODJ,2671411961,,,SWISS,,,,PARIS,ZURICH,W,,,,,,,
458,Employee Name131,,5745949155,2/19/2018,2/5/2018,Exchange,Intercontinental,2/19/2018,2/22/2018,308.7978778,KSSTJU,5745949155,,,LUFTHANSA GERMAN AIRLINES,,,,MUNICH,LOS ANGELES,D,,,,,,,
459,Employee Name131,,2880373013,11/21/2018,10/11/2018,Original,Intercontinental,11/21/2018,11/21/2018,369.9271735,GHDDDX,2880373013,,,CATHAY PACIFIC AIRWAYS,,,,HONG KONG,SHANGHAI,Y,,,,,,,
460,Employee Name75,,4932309832,10/15/2018,10/11/2018,Original,Domestic,10/15/2018,10/15/2018,310.2259425,PBYCLV,4932309832,,,SAS SCANDINAVIAN AIRLINES,,,,OSLO,BERGEN,H,,,,,,,
461,Employee Name102,,5697403942,5/29/2018,5/14/2018,Original,Continental,5/29/2018,5/29/2018,483.8252254,DHRSUB,5697403942,,,AUSTRIAN AIRLINES,,,,VIENNA,ZURICH,Q,,,,,,,
462,Employee Name143,,5697403800,2/5/2018,1/29/2018,Original,Intercontinental,2/5/2018,2/5/2018,234.47986,UNXUFR,5697403800,,,TAROM ROMANIAN,,,,BUCHAREST,TEL AVIV,U,,,,,,,
463,Employee Name8,,2671411052,10/5/2018,9/25/2018,Original,Continental,10/5/2018,10/7/2018,525.9362202,XWSCYQ,2671411052,,,AIR FRANCE,,,,ZURICH,PARIS,P,,,,,,,
464,Employee Name76,,2337046153,2/2/2018,1/31/2018,Original,Domestic,2/2/2018,2/2/2018,149.0277689,SLZVDB,2337046153,,,TURKISH AIRLINES,,,,ISTANBUL,ANKARA,T,,,,,,,
465,Employee Name34,,5358073591,8/2/2018,9/14/2018,Original,Continental,8/2/2018,8/3/2018,499.5029983,,5358073591,,,LOT-POLISH AIRLINES,,,,BUDAPEST,WARSAW,Z,,,,,,,
466,Employee Name131,,2880373243,2/11/2019,11/14/2018,Original,Intercontinental,2/11/2019,2/16/2019,5523.675131,ERGJEK,2880373243,,,LUFTHANSA GERMAN AIRLINES,,,,MUNICH,LOS ANGELES,Z,,,,,,,
467,Employee Name151,,9785226633,5/17/2018,5/3/2018,Original,Continental,5/17/2018,5/17/2018,709.6266568,BOZTRF,9785226633,,,LUFTHANSA GERMAN AIRLINES,,,,PRAGUE,ZURICH,H,,,,,,,
468,Employee Name68,,7228833199,1/15/2019,12/3/2018,Original,Domestic,1/15/2019,1/18/2019,276.4,LWRSYS,7228833199,,,ALASKA AIRLINES,,,,SEATTLE,PALM SPRINGS,T,,,,,,,
469,Employee Name11,,7222616239,12/10/2018,12/7/2018,Refund,Intercontinental,12/10/2018,12/14/2018,-4637.43,CSQJGB,7222616239,,,TURKISH AIRLINES,,,,LOS ANGELES,ISTANBUL,K,,,,,,,
470,Employee Name8,,2858203645,2/15/2019,1/28/2019,Original,Continental,2/15/2019,2/17/2019,306.390162,XYZLDE,2858203645,,,SWISS,,,,ZURICH,PARIS,V,,,,,,,
471,Employee Name12,,5952010477,4/9/2018,3/15/2018,Original,Continental,4/9/2018,4/10/2018,586.7395623,KFOZEI,5952010477,,,SWISS,,,,ZURICH,STOCKHOLM,W,,,,,,,
472,Employee Name100,,5952010355,6/16/2018,3/1/2018,Original,Continental,6/16/2018,6/22/2018,281.2339808,EFAYOK,5952010355,,,SWISS,,,,ZURICH,WARSAW,L,,,,,,,
473,Employee Name8,,2671411562,11/23/2018,11/9/2018,Original,Continental,11/23/2018,11/26/2018,377.9792162,RFSOQM,2671411562,,,AIR FRANCE,,,,ZURICH,PARIS,V,,,,,,,
474,Employee Name117,,3193738570,12/6/2018,11/28/2018,Original,Domestic,12/6/2018,12/6/2018,54.68031821,CQMCNU,3193738570,,,PJSC AEROFLOT,,,,MOSCOW,ST PETERSBURG,N,,,,,,,
475,Employee Name70,,2955533033,11/26/2018,10/26/2018,Original,Continental,11/26/2018,11/26/2018,227.2762693,UBOEJF,2955533033,,,SWISS,,,,BRUSSELS,ZURICH,L,,,,,,,
476,Employee Name3,,5637564169,5/18/2018,5/17/2018,Original,Continental,5/18/2018,5/18/2018,277.569603,SDTNKG,5637564169,,,SAS SCANDINAVIAN AIRLINES,,,,STOCKHOLM,TURKU,H,,,,,,,
477,Employee Name117,,2642657850,6/27/2018,6/9/2018,Original,Continental,6/27/2018,6/27/2018,213.1014327,XBRVME,2642657850,,,PJSC AEROFLOT,,,,MOSCOW,VIENNA,T,,,,,,,
478,Employee Name24,,1496043338,11/1/2018,10/5/2018,Original,Domestic,11/1/2018,11/2/2018,159.97,TZBIZB,1496043338,,,SOUTHWEST AIRLINES,,,,BURBANK,SAN FRANCISCO,J,,,,,,,
479,Employee Name97,,2857023961,10/17/2018,9/13/2018,Original,Domestic,10/17/2018,10/18/2018,421.2793934,FKURNI,2857023961,,,VIRGIN AUSTRALIA,,,,SYDNEY,CANBERRA,L,,,,,,,
480,Employee Name12,,5670276047,3/9/2018,2/22/2018,Refund,Continental,3/9/2018,3/13/2018,-117.2072329,,5670276047,,,SWISS,,,,ZURICH,LONDON,V,,,,,,,
481,Employee Name131,,2880373077,11/22/2018,10/18/2018,Exchange,Intercontinental,11/22/2018,11/22/2018,0,GHDDDX,2880373077,,,CATHAY PACIFIC AIRWAYS,,,,HONG KONG,SHANGHAI,Y,,,,,,,
482,Employee Name131,,2880373466,1/21/2019,12/14/2018,Original,Intercontinental,1/21/2019,1/25/2019,6465.500026,CNBWTQ,2880373466,,,LUFTHANSA GERMAN AIRLINES,,,,MUNICH,TOKYO,C,,,,,,,
483,Employee Name93,,2625238483,4/25/2018,4/20/2018,Original,Continental,4/25/2018,4/25/2018,319.95,MGLZR2,2625238483,,,MIDDLE EAST AIRLINES,,,,BEIRUT,AMMAN,Q,,,,,,,
484,Employee Name3,,5637564092,5/15/2018,4/13/2018,Original,Continental,5/15/2018,5/17/2018,155.2843905,EPMGNK,5637564092,,,SAS SCANDINAVIAN AIRLINES,,,,STOCKHOLM,LONDON,O,,,,,,,
485,Employee Name143,,5697403781,2/4/2018,1/12/2018,Original,Continental,2/4/2018,2/8/2018,203.4995499,BHQMUS,5697403781,,,TAROM ROMANIAN,,,,VIENNA,BUCHAREST,V,,,,,,,
486,Employee Name24,,7134738516,5/24/2018,4/10/2018,Original,Domestic,5/24/2018,5/24/2018,234.61,RAYXFA,7134738516,,,DELTA AIR LINES,,,,BOSTON,LOS ANGELES,Q,,,,,,,
487,Employee Name34,,5358073587,8/2/2018,7/31/2018,Original,Continental,8/2/2018,8/3/2018,629.2652525,JSJBDK,5358073587,,,LOT-POLISH AIRLINES,,,,BUDAPEST,WARSAW,Z,,,,,,,
488,Employee Name153,,2671411810,2/8/2019,12/10/2018,Original,Continental,2/8/2019,2/17/2019,1038.995127,NWCTTO,2671411810,,,SWISS,,,,ZURICH,MOSCOW,P,,,,,,,
489,Employee Name117,,2642363300,6/19/2018,5/18/2018,Original,Continental,6/19/2018,6/21/2018,427.6356459,KJJJCO,2642363300,,,LUFTHANSA GERMAN AIRLINES,,,,MUNICH,WARSAW,W,,,,,,,
490,Employee Name135,,2558016831,8/27/2018,8/8/2018,Original,Continental,8/27/2018,8/31/2018,257.3512254,J3L9TR,2558016831,,,AIR SERBIA,,,,LJUBLJANA,BELGRADE,U,,,,,,,
491,Employee Name125,,5622259004,2/18/2018,2/12/2018,Original,Intercontinental,2/18/2018,2/22/2018,261.3728376,VCSTZW,5622259004,,,AIR ALGERIE,,,,ALGIERS,PARIS,L,,,,,,,
492,Employee Name97,,2641103581,6/25/2018,5/15/2018,Original,Domestic,6/25/2018,6/25/2018,130.2654605,IBKTPN,2641103581,,,VIRGIN AUSTRALIA,,,,MELBOURNE,CANBERRA,T,,,,,,,
493,Employee Name12,,2671411863,1/13/2019,12/17/2018,Original,Continental,1/13/2019,1/13/2019,232.6288978,NJSUTB,2671411863,,,SWISS,,,,LONDON,ZURICH,W,,,,,,,
494,Employee Name153,,2671411656,12/10/2018,11/19/2018,Original,Intercontinental,12/10/2018,12/12/2018,2739.949763,LKURFO,2671411656,,,SWISS,,,,ZURICH,TEL AVIV,C,,,,,,,
495,Employee Name9,,2675514214,10/4/2018,9/25/2018,Original,Continental,10/4/2018,10/4/2018,225.1985155,QI84GL,2675514214,,,LOT-POLISH AIRLINES,,,,VILNIUS,TALLINN,Q,,,,,,,
496,Employee Name63,,2344918618,4/24/2018,4/24/2018,Exchange,Domestic,4/24/2018,4/24/2018,63.05279795,RXYN4E,2344918618,,,TURKISH AIRLINES,,,,ANKARA,ISTANBUL,B,,,,,,,
497,Employee Name97,,5374195421,5/4/2018,4/26/2018,Exchange,Domestic,5/4/2018,5/5/2018,47.20605163,LFYKPM,5374195421,,,VIRGIN AUSTRALIA,,,,SYDNEY,MELBOURNE,L,,,,,,,
498,Employee Name34,,5358073602,8/30/2018,9/11/2018,Original,Continental,8/30/2018,8/30/2018,380.2092791,,5358073602,,,LOT-POLISH AIRLINES,,,,BUDAPEST,WARSAW,M,,,,,,,
499,Employee Name9,,5988506827,1/4/2018,1/3/2018,Original,Continental,1/4/2018,1/5/2018,258.0595215,KSMB2R,5988506827,,,LOT-POLISH AIRLINES,,,,VILNIUS,TALLINN,L,,,,,,,
500,Employee Name82,,5374733094,10/3/2018,9/24/2018,Original,Domestic,10/3/2018,10/3/2018,135.7318883,WGKVQA,5374733094,,,TAROM ROMANIAN,,,,BUCHAREST,CLUJ,S,,,,,,,
501,Employee Name82,,5374733048,7/2/2018,6/25/2018,Original,Domestic,7/2/2018,7/2/2018,130.7352385,ZQHSVN,5374733048,,,TAROM ROMANIAN,,,,BUCHAREST,TIMISOARA,K,,,,,,,
502,Employee Name34,,1303977132,3/19/2018,3/2/2018,Original,Continental,3/19/2018,3/21/2018,341.4752668,MIKBAI,1303977132,,,SWISS,,,,BUDAPEST,ZURICH,V,,,,,,,
503,Employee Name18,,7183613064,11/4/2018,9/23/2018,Exchange,Intercontinental,11/4/2018,11/10/2018,94,AUPSJB,7183613064,,,VIRGIN ATLANTIC,,,,LONDON,LOS ANGELES,I,,,,,,,
504,Employee Name90,,1303977168,6/19/2018,5/18/2018,Original,Continental,6/19/2018,6/21/2018,351.2118887,GFJMDL,1303977168,,,LOT-POLISH AIRLINES,,,,BUDAPEST,WARSAW,K,,,,,,,
505,Employee Name150,,1337692451,3/8/2018,3/7/2018,Original,Domestic,3/8/2018,3/8/2018,160.4804551,,1337692451,,,TAP AIR PORTUGAL,,,,PORTO,LISBON,H,,,,,,,
506,Employee Name97,,3148062982,1/12/2019,11/27/2018,Original,Intercontinental,1/12/2019,1/19/2019,5706.590502,TTLOGJ,3148062982,,,VIRGIN AUSTRALIA,,,,SYDNEY,LOS ANGELES,I,,,,,,,
507,Employee Name151,,9785226684,11/26/2018,11/20/2018,Refund,Continental,11/26/2018,11/28/2018,-59.61277092,YMGDVA,9785226684,,,SWISS,,,,PRAGUE,ZURICH,Q,,,,,,,
508,Employee Name3,,5637564093,5/19/2018,4/13/2018,Original,Continental,5/19/2018,5/19/2018,115.1919241,ZVNRVP,5637564093,,,SAS SCANDINAVIAN AIRLINES,,,,TURKU,STOCKHOLM,L,,,,,,,
509,Employee Name117,,5301590796,3/13/2018,2/8/2018,Original,Continental,3/13/2018,3/18/2018,475.0432174,RXYOVA,5301590796,,,PJSC AEROFLOT,,,,MOSCOW,LONDON,N,,,,,,,
510,Employee Name63,,2342317114,3/27/2018,3/26/2018,Original,Domestic,3/27/2018,3/27/2018,137.5065912,S6JTAD,2342317114,,,TURKISH AIRLINES,,,,ISTANBUL,ANKARA,B,,,,,,,
511,Employee Name97,,5335108323,3/11/2018,2/15/2018,Refund,Intercontinental,3/11/2018,3/18/2018,-4807.812775,RWPIAE,5335108323,,,CATHAY PACIFIC AIRWAYS,,,,SYDNEY,LOS ANGELES,D,,,,,,,
512,Employee Name18,,7043211083,2/5/2018,1/30/2018,Original,Intercontinental,2/5/2018,2/9/2018,9046.41,ICVCIY,7043211083,,,AMERICAN AIRLINES,,,,LOS ANGELES,LONDON,D,,,,,,,
513,Employee Name12,,2858203578,2/12/2019,1/21/2019,Original,Continental,2/12/2019,2/12/2019,372.56154,IEKQMH,2858203578,,,SWISS,,,,ZURICH,BRUSSELS,W,,,,,,,
514,Employee Name93,,2881019924,11/5/2018,11/1/2018,Original,Intercontinental,11/5/2018,11/7/2018,532.27,JF8NGF,2881019924,,,MIDDLE EAST AIRLINES,,,,BEIRUT,ISTANBUL,B,,,,,,,
515,Employee Name103,,2579377463,9/19/2018,8/17/2018,Original,Continental,9/19/2018,9/20/2018,375.4355879,PMUPEB,2579377463,,,KLM-ROYAL DUTCH AIRLINES,,,,AMSTERDAM,ZURICH,K,,,,,,,
