FromCurrency,ToCurrency,ConversionDate,ConversionRate,UserDefinedColumn1,UserDefinedColumn2
USD,USD,10/27/2018,1,,
USD,USD,10/28/2018,1,,
USD,USD,10/29/2018,1,,
USD,USD,10/30/2018,1,,
USD,USD,10/31/2018,1,,
USD,USD,11/1/2018,1,,
USD,USD,11/2/2018,1,,
USD,USD,11/3/2018,1,,
USD,USD,11/4/2018,1,,
USD,USD,11/5/2018,1,,
USD,USD,11/6/2018,1,,
USD,USD,11/7/2018,1,,
USD,USD,11/8/2018,1,,
USD,USD,11/9/2018,1,,
USD,USD,11/10/2018,1,,
USD,USD,11/11/2018,1,,
USD,USD,11/12/2018,1,,
USD,USD,11/13/2018,1,,
USD,USD,11/14/2018,1,,
USD,USD,11/15/2018,1,,
USD,USD,11/16/2018,1,,
USD,USD,11/17/2018,1,,
USD,USD,11/18/2018,1,,
USD,USD,11/19/2018,1,,
USD,USD,11/20/2018,1,,
USD,USD,11/21/2018,1,,
USD,USD,11/22/2018,1,,
USD,USD,11/23/2018,1,,
USD,USD,11/24/2018,1,,
USD,USD,11/25/2018,1,,
USD,USD,11/26/2018,1,,
USD,USD,11/27/2018,1,,
USD,USD,11/28/2018,1,,
USD,USD,11/29/2018,1,,
USD,USD,11/30/2018,1,,
USD,USD,12/1/2018,1,,
USD,USD,12/2/2018,1,,
USD,USD,12/3/2018,1,,
USD,USD,12/4/2018,1,,
USD,USD,12/5/2018,1,,
USD,USD,12/6/2018,1,,
USD,USD,12/7/2018,1,,
USD,USD,12/8/2018,1,,
USD,USD,12/9/2018,1,,
USD,USD,12/10/2018,1,,
USD,USD,12/11/2018,1,,
USD,USD,12/12/2018,1,,
USD,USD,12/13/2018,1,,
USD,USD,12/14/2018,1,,
USD,USD,12/15/2018,1,,
USD,USD,12/16/2018,1,,
USD,USD,12/17/2018,1,,
USD,USD,12/18/2018,1,,
USD,USD,12/19/2018,1,,
USD,USD,12/20/2018,1,,
USD,USD,12/21/2018,1,,
USD,USD,12/22/2018,1,,
USD,USD,12/23/2018,1,,
USD,USD,12/24/2018,1,,
USD,USD,12/25/2018,1,,
USD,USD,12/26/2018,1,,
USD,USD,12/27/2018,1,,
USD,USD,12/28/2018,1,,
USD,USD,12/29/2018,1,,
USD,USD,12/30/2018,1,,
USD,USD,12/31/2018,1,,
USD,USD,1/1/2019,1,,
USD,USD,1/2/2019,1,,
USD,USD,1/3/2019,1,,
USD,USD,1/4/2019,1,,
USD,USD,1/5/2019,1,,
USD,USD,1/6/2019,1,,
USD,USD,1/7/2019,1,,
USD,USD,1/8/2019,1,,
USD,USD,1/9/2019,1,,
USD,USD,1/10/2019,1,,
USD,USD,1/11/2019,1,,
USD,USD,1/12/2019,1,,
USD,USD,1/13/2019,1,,
USD,USD,1/14/2019,1,,
USD,USD,1/15/2019,1,,
USD,USD,1/16/2019,1,,
USD,USD,1/17/2019,1,,
USD,USD,1/18/2019,1,,
USD,USD,1/19/2019,1,,
USD,USD,1/20/2019,1,,
USD,USD,1/21/2019,1,,
USD,USD,1/22/2019,1,,
USD,USD,1/23/2019,1,,
USD,USD,1/24/2019,1,,
USD,USD,1/25/2019,1,,
USD,USD,1/26/2019,1,,
USD,USD,1/27/2019,1,,
USD,USD,1/28/2019,1,,
USD,USD,1/29/2019,1,,
USD,USD,1/30/2019,1,,
USD,USD,1/31/2019,1,,
